
1		0.7513		0.4663		0.2276		0.00050000
2		0.4551		0.4040		0.3253		0.00050000
3		0.4098		0.3912		0.3485		0.00050000
4		0.3887		0.3901		0.3503		0.00050000
5		0.3731		0.3760		0.3585		0.00050000
6		0.3614		0.3601		0.3676		0.00050000
7		0.3491		0.3836		0.3530		0.00050000
8		0.3482		0.3580		0.3699		0.00050000
9		0.3393		0.3461		0.3689		0.00050000
10		0.3340		0.3442		0.3742		0.00050000
11		0.3303		0.3406		0.3804		0.00050000
12		0.3251		0.3681		0.3574		0.00050000
13		0.3266		0.3427		0.3814		0.00050000
14		0.3262		0.3308		0.3805		0.00050000
15		0.3188		0.3330		0.3739		0.00050000
16		0.3194		0.3448		0.3790		0.00050000
17		0.3161		0.3385		0.3758		0.00050000
18		0.3117		0.3487		0.3760		0.00050000
19		0.3137		0.3464		0.3750		0.00050000
20		0.3069		0.3416		0.3876		0.00050000
21		0.3088		0.3391		0.3765		0.00050000
22		0.3059		0.3297		0.3817		0.00050000
23		0.3090		0.3188		0.3851		0.00050000
24		0.3026		0.3509		0.3787		0.00050000
25		0.3043		0.3347		0.3917		0.00050000
26		0.3014		0.3509		0.3850		0.00050000
27		0.3004		0.3362		0.3827		0.00050000
28		0.3012		0.3285		0.3846		0.00050000
29		0.3041		0.3478		0.3882		0.00050000
30		0.3002		0.3262		0.3856		0.00050000
31		0.2955		0.3243		0.3946		0.00050000
32		0.2983		0.3396		0.3792		0.00050000
33		0.2976		0.3161		0.3986		0.00050000
34		0.2970		0.3212		0.3904		0.00050000
35		0.2959		0.3275		0.3898		0.00050000
36		0.2992		0.3170		0.3909		0.00050000
37		0.2900		0.3407		0.3786		0.00050000
38		0.2961		0.3200		0.3888		0.00050000
39		0.2943		0.3267		0.3852		0.00050000
40		0.2913		0.3145		0.3897		0.00050000
41		0.2924		0.3306		0.3890		0.00050000
42		0.2979		0.3429		0.3738		0.00050000
43		0.2899		0.3369		0.3884		0.00050000
44		0.2923		0.3463		0.3882		0.00050000
45		0.2908		0.3254		0.3884		0.00050000
46		0.2903		0.3311		0.3932		0.00050000
47		0.2907		0.3370		0.3830		0.00050000
48		0.2894		0.3317		0.3874		0.00050000
49		0.2911		0.3364		0.3856		0.00050000
50		0.2869		0.3381		0.3944		0.00050000
51		0.2546		0.3136		0.3971		0.00025000
52		0.2473		0.3110		0.4085		0.00025000
53		0.2446		0.3217		0.4077		0.00025000
54		0.2418		0.3133		0.4087		0.00025000
55		0.2417		0.3157		0.4047		0.00025000
56		0.2406		0.3158		0.4155		0.00025000
57		0.2411		0.3135		0.4070		0.00025000
58		0.2388		0.3209		0.4056		0.00025000
59		0.2380		0.3118		0.4105		0.00025000
